"","group_id","promotion_cache"
"1","63695",1
"2","53481",1
"3","54305",1
"4","41766",1
"5","32196",1
"6","25423",1
"7","25705",1
"8","44047",1
"9","21406",1
"10","63785",0
"11","10206",2
"12","50170",0
"13","16879",0
"14","48758",2
"15","35554",0
"16","39125",3
"17","16050",2
"18","52192",0
"19","21969",0
"20","12436",4
"21","13894",0
"22","31982",4
"23","53664",0
"24","39320",0
"25","58928",0
"26","47108",0
"27","14386",0
"28","21973",0
"29","18217",0
"30","10170",0
"31","56676",0
"32","38056",0
"33","34653",4
"34","41843",0
"35","46221",0
"36","34545",0
"37","25652",0
"38","48429",3
"39","43222",0
"40","11658",0
"41","52995",0
"42","6399",0
"43","11402",3
"44","63540",3
"45","16428",0
"46","17230",0
"47","55972",0
"48","67340",0
"49","27579",0
"50","59069",0
"51","6688",0
"52","54665",0
"53","49649",0
"54","46901",3
"55","25300",0
"56","21421",0
"57","59171",3
"58","17066",0
"59","33422",0
"60","3473",0
"61","40053",0
"62","29718",0
"63","25179",0
"64","16543",0
"65","31564",0
"66","29338",0
"67","50390",0
"68","38303",0
"69","35027",0
"70","15573",0
"71","35742",5
"72","37517",0
"73","50350",0
"74","8679",0
"75","35429",0
"76","62979",0
"77","46707",0
"78","21271",0
"79","37721",5
"80","16658",3
"81","43991",0
"82","12565",6
"83","23869",0
"84","43916",0
"85","30886",0
"86","52866",0
"87","42624",0
"88","53610",0
"89","38869",0
"90","34639",0
"91","5109",0
"92","29306",0
"93","13245",6
"94","47395",3
"95","52677",7
"96","8021",0
"97","39091",0
"98","57929",0
"99","18685",3
"100","55980",0
"101","15262",0
"102","57181",0
"103","21392",6
"104","25049",0
"105","55883",3
"106","10444",0
"107","66302",3
"108","48698",0
"109","47048",0
"110","32447",5
"111","49934",0
"112","3413",3
"113","49767",0
"114","63949",6
"115","10609",0
"116","46541",0
"117","37659",0
"118","32868",5
"119","36889",0
"120","39431",6
"121","38638",0
"122","33433",0
"123","59343",3
"124","22402",5
"125","30164",0
"126","67367",6
"127","26352",0
"128","67559",5
"129","25789",0
"130","6856",0
"131","23626",0
"132","10393",0
"133","38415",6
"134","14321",0
"135","26168",8
"136","49690",0
"137","64036",3
"138","45253",0
"139","12374",0
"140","45036",0
"141","8504",0
"142","21094",6
"143","16250",0
"144","15594",0
"145","26787",0
"146","50857",0
"147","20332",0
"148","3012",0
"149","18913",0
"150","5279",0
"151","12961",0
"152","49131",0
"153","55956",0
"154","47384",3
"155","18087",0
"156","37462",0
"157","46635",0
"158","53738",0
"159","58020",0
"160","41112",0
"161","60486",0
"162","56474",0
"163","31259",0
"164","51355",0
"165","22138",0
"166","55681",0
"167","29436",3
"168","55796",0
"169","22800",0
"170","19960",0
"171","29750",0
"172","939",0
"173","17740",0
"174","25611",0
"175","16311",0
"176","39127",8
"177","43349",0
"178","49445",0
"179","66352",3
"180","56971",3
"181","65134",3
"182","45124",0
"183","63347",0
"184","45392",0
"185","46218",0
"186","52378",0
"187","62018",0
"188","20660",3
"189","42482",0
"190","6381",0
"191","64240",0
"192","66091",7
"193","47373",0
"194","20368",0
"195","60143",8
"196","5539",0
"197","32672",0
"198","56721",0
"199","67226",0
"200","44981",3
"201","53405",0
"202","2038",0
"203","55446",0
"204","49213",0
"205","36801",0
"206","3318",7
"207","5076",0
"208","64203",0
"209","10576",0
"210","62975",0
"211","62175",0
"212","12684",0
"213","4322",0
"214","33115",0
"215","36105",0
"216","52042",0
"217","55467",0
"218","62951",3
"219","55892",0
"220","23163",0
"221","12007",0
"222","35475",0
"223","59785",0
"224","24620",0
"225","34462",3
"226","3223",0
"227","52239",0
"228","66432",0
"229","47819",8
"230","22664",0
"231","66866",0
"232","19056",0
"233","42485",0
"234","41296",0
"235","63140",3
"236","59848",0
"237","1535",7
"238","49484",0
"239","56055",0
"240","55434",0
"241","22642",3
"242","58935",0
"243","59630",0
"244","44444",0
"245","51142",8
"246","64456",0
"247","65328",0
"248","47747",0
"249","10498",0
"250","4429",0
"251","37009",0
"252","56930",3
"253","811",0
"254","36682",0
"255","8486",0
"256","5140",0
"257","58187",0
"258","26471",0
"259","817",0
"260","41732",0
"261","31696",0
"262","50600",3
"263","19431",0
"264","47638",0
"265","43563",0
"266","21197",0
"267","68410",0
"268","534",0
"269","54433",0
"270","42365",0
"271","2129",0
"272","53272",0
"273","13888",0
"274","57158",0
"275","30235",0
"276","42011",0
"277","9514",0
